1445 1984 652 1817 1189
444 1279 1919 1093 1729
275 1411 1655 112 520
40249492 20774929 38227558 80183545 29549102
1784 1509 1773 384 1102
1956 1267 1558 1599 1495
808 920 1884 1432 520
376 1714 1375 165 602
290 1603 1462 1261 873
1198 1072 531 1217 1785
808 920 1884 1432 520
1274 21 1026 653 758
698 1924 603 1692 194
242 1639 63 1121 1188
171 1131 216 260 1312
629 1546 1537 600 582
1131 464 1507 1190 1265
773 1150 444 409 1780
1910 182 545 601 490
527 14 499 1431 493
1181 878 1958 617 1830
1474 1711 89 1583 218
1665 1765 1134 296 1144
114 1447 1071 1357 657
1335 1013 940 775 153
1271 1677 1026 345 1300
1614 607 317 1046 709
402 356 1211 1427 1850
1062 133 845 15 1065
128 795 1794 1043 122
642 922 965 1449 136
1037 264 160 1268 198
1169 1583 495 1747 661
717 1316 344 233 323
656 261 1105 36 1449
466 1512 165 347 1568
222 1472 332 1973 739
480 1594 310 1702 1670
413 230 620 1172 830
1907 85 444 239 543
1637 1164 65 649 1174
477 1954 668 302 852
1346 1995 1933 801 230
617 1490 1670 675 809
533 785 1142 1398 1229
768 847 1454 119 180
216 163 1725 1006 1827
1839 662 348 1694 1485
136 1780 1827 1867 639
995 1721 16 1290 504
441 239 27 1771 1559
765 734 1941 693 1579
1309 684 122 1199 493
54 768 865 1506 1324
1560 262 404 110 1002
904 30 247 438 706
974 457 1515 826 1451
1216 778 1758 1787 1397
610 896 1983 947 1354
901 917 723 201 1435
471 722 1711 1008 403
598 102 162 435 847
147 99 1394 639 1293
1497 4 1573 385 730
76 860 1193 66 1139
212 1533 1408 542 794
1067 1479 1108 369 1909
1569 1618 243 1569 1227
1474 951 56 745 939
1409 156 634 1645 1280
1440 138 1855 1482 1455
17784796 11140628 81951685 81947587 93979175
50848711 80793046 68444003 47040650 84824933
258 1416 172 1309 1974
665 933 465 1145 1733
1633 1777 1092 41 91
1383 969 1701 1640 804
1794 1865 398 1869 217
1169 1283 1923 1581 426
759 1268 1975 1479 1218
23 1478 411 808 1916
1443 1538 238 1368 1458
54 1512 1208 1846 1050
489 1707 1592 690 528
453 995 549 996 24
1494 1543 670 784 1690
37388518 75490371 12341507 59603541 67205804
1783 503 1040 1894 1169
170 236 121 1954 1949
1312 1009 1939 1417 788
866 1789 367 611 1068
534 1033 799 1379 1527
1950 438 1236 1537 1625
1821 1270 1889 1959 479
1000 1331 49 133 878
649 7 1476 6 1221
1357 770 1568 1620 1998
1394 833 624 1533 906
1260 1080 134 1802 135
1568 1171 807 41 1480
